idx,id
445,USA20354
446,USA20363
447,USA20364
448,USA20372
449,USA20385
450,USA20389
451,USA20393
452,USA20415
453,USA20424
454,USA20428
455,USA20465
456,USA20475
457,USA20479
458,USA20483
459,USA20492
460,USA20495
461,USA20500
462,USA20507
463,USA20523
464,USA20524
465,USA20531
466,USA20532
467,USA20539
468,USA20541
469,USA20559
470,USA20563
471,USA20564
472,USA20570
473,USA20580
474,USA20583
475,USA20584
476,USA20591
477,USA20592
478,USA20599
479,USA20603
480,USA20621
481,USA20629
482,USA20632
483,USA20642
484,USA20650
485,USA20661
486,USA20670
487,USA20673
488,USA20674
489,USA20678
490,USA20680
491,USA20681
492,USA20700
493,USA20707
494,USA20708
495,USA20710
496,USA20711
497,USA20715
498,USA20718
499,USA20724
500,USA20729
501,USA20734
502,USA20737
503,USA20740
504,USA20741
505,USA20743
506,USA20745
507,USA20746
508,USA20748
509,USA20752
510,USA20755
511,USA20760
512,USA20764
513,USA20778
514,USA20780
515,USA20781
516,USA20783
517,USA20784
518,USA20785
519,USA20857
520,USA21018
521,USA21019
522,USA21033
523,USA21071
524,USA21141
525,USA21182
526,USA21223
527,USA21250
528,USA21258
529,USA21278
530,USA21340
531,USA21381
532,USA21428
533,USA21475
534,USA21616
535,USA21662
536,USA21670
537,USA21678
538,USA21688
539,USA21689
540,USA21728
541,USA21898
542,USA21921
543,USA21926
544,USA21981
545,USA22022
546,USA22034
547,USA22053
548,USA22151
549,USA22156
550,USA22197
551,USA22252
552,USA22270
553,USA22320
554,USA22345
555,USA22375
556,USA22400
557,USA22440
558,USA22498
559,USA22506
560,USA22514
561,USA22515
562,USA22529
563,USA22552
564,USA22558
565,USA22576
566,USA22578
567,USA22584
568,USA22586
569,USA22587
570,USA22590
571,USA22598
572,USA22605
573,USA22611
574,USA22615
575,USA22616
576,USA22622
